source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Diễn Viên Hài Thu Trang,,2019-11-27 22:00:48,Giờ này ai còn thức để đọc báo không nè?,661,560,21,80,,,,68 bình luậ,2861658350513641,/story.php?story_fbid=2861658350513641&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-27 19:00:01,"Ông Bụt bỗng nhiên quay lưng, ông Bụt không còn bảo vệ chàng Khoai hiền lành nữa rồi 😞 Chàng Khoai thật thà của chúng ta liệu có chiến thắng cái ác trong câu chuyện Cây tre trăm đốt không đây...? Hãy đợi đón xem tập 4 - Cây tre trăm đốt được phát sóng lúc 20h00 ngày 28/11 trên fanpage Diễn viên hài Thu Trang nhé cả nhà <3",612,513,40,57,1,1,,30 bình luậ,2830466866966123,/story.php?story_fbid=2830466866966123&id=743558085657022,Lưu
"Diễn Viên Hài Thu Trang,Diễn Viên Hài Thu Trang",,2019-11-27 18:29:52,,"Lê Tam Triều Dâng và 2,6K người khác","2,1K",43,464,5,2,4,490 bình luậ,427793944828244,/story.php?story_fbid=427793944828244&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-27 11:45:50,😲 Đi 1 về 2 còn có giải thưởng mang về. Xem Duyên Tiền Định biết đâu có thêm kinh nghiệm thoát ế đó mấy chế!!! 👉 https://www.facebook.com/Dienvienhaithutrang/videos/2361359423989859/,4K,"3,7K",48,245,1,,,69 bình luậ,2860602160619260,/story.php?story_fbid=2860602160619260&id=743558085657022,Lưu
"Diễn Viên Hài Thu Trang,Diễn Viên Hài Thu Trang",,2019-11-27 09:49:31,Ngồi cạnh tui mà sao mặt Tiến Luật căng thẳng dữ vậy trời??? Đang giấu giếm tui điều gì???,"6,9K","6,2K",344,359,4,,,184 bình luậ,2860457627300380,/story.php?story_fbid=2860457627300380&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-26 20:00:01,"Tuần này, các cặp đội liệu có vượt qua thang điểm duyên phận để đến được với nhau hay không? Cố lên các chàng trai cô gái ơi <3 Thoát ế đi nào!!! Trong tập này, có một cô gái đã hỏi rằng ""Anh có quan tâm đến quá khứ của người yêu mình không?"" Còn các bạn, các bạn nghĩ sao? Các bạn có quá quan trọng quá khứ của ""nửa kia"" của mình hay không?",496,428,16,51,,1,,40 bình luậ,2830455303633946,/story.php?story_fbid=2830455303633946&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-26 15:09:57,"Nhờ thằng em chụp dùm tấm hình nghệ nghệ, và thế là nó chụp không thấy mặt mình lun, nó chỉ lấy bông, lấy hoa.... Nó cho như vậy là nghệ? Đang vui không muốn quạo , mà nhìn thấy tấm hình muốn chửi thề ghê. Không quạo, không quạo , không quạo.... Moáaaaaaaaaaaaaaa🤔",11K,"9,8K",642,499,6,5,,161 bình luậ,2858600044152805,/story.php?story_fbid=2858600044152805&id=743558085657022,Lưu
"Diễn Viên Hài Thu Trang,Diễn Viên Hài Thu Trang,Diễn Viên Hài Thu Trang",,2019-11-26 11:45:57,"Alo Huy à? Đừng quên 20h00 tối nay đi làm ông mai - bà mối se DUYÊN TIỀN ĐỊNH với tui đó nha!!Tuần này, các cặp đội liệu có vượt qua thang điểm duyên phận để đến được với nhau hay không? Cố lên các chàng trai cô gái ơi <3 Thoát ế đi nào!!! Trong tập này,...",12K,12K,320,601,1,,,130 bình luậ,2858287667517376,/story.php?story_fbid=2858287667517376&id=743558085657022,Lưu
Diễn Viên Hài Thu Trang,,2019-11-26 09:27:05,Hôm nay mọi người thế nào? Anh vẫn ổn nhé.😏,Lê Tam Triều Dâng và 10K người khác,"9,3K",560,598,46,4,,276 bình luậ,2858093807536762,/story.php?story_fbid=2858093807536762&id=743558085657022,Lưu
"Diễn Viên Hài Thu Trang,Diễn Viên Hài Thu Trang",,2019-11-25 19:00:00,"Với khả năng hội họa ""thiên phú"" như này của 3 cô gái thì không biết có giúp họ tìm được nửa kia của mình hay không? 😅 Tò mò quá thì hãy cùng chờ xem tập 4 DUYÊN TIỀN ĐỊNH vào lúc 20h00 ngày 26/11/2019 trên fanpage Diễn viên hài Thu Trang nha <3Tuần này, các cặp đội liệu có vượt qua thang điểm duyên phận để đến được với nhau hay không? Cố lên các chàng trai cô gái ơi <3 Thoát ế đi nào!!! Trong tập này,...",688,611,13,64,,,,39 bình luậ,2828515627161247,/story.php?story_fbid=2828515627161247&id=743558085657022,Lưu
