source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,share
Cuồng phim-Review,,2019-11-27 22:30:30,"Gửi anh, người vứt bỏ trái tim em! #cuồngphim","2,9K","2,4K",63,288,14,97,,166 bình luậ,2496810677301437,/story.php?story_fbid=2496810677301437&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 22:00:00,"Mới đây, đạo diễn của Knives Out, Rian Johnson, đã chia sẻ về quyết định của mình khi chọn Chris Evans vào vai nhân vật Ransom lươn lẹo. 😂😂😂 #cuồngphim",460,399,55,6,,,,Bình luậ,2495354110780427,/story.php?story_fbid=2495354110780427&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 21:00:35,"Cái kết quá đắng sau một đêm say, ngủ dậy mà gặp tình huống này thì phải làm sao đây các cuồng?  Web drama Móng Tay Nhọn vừa ra tập 5 kịch tính lắm, xem ngay cho nóng nhe! Link: https://www.youtube.com/watch?v=QqtXs8jpMqU #cuồngphim",228,210,15,1,2,,,Bình luậ,495918594348778,/story.php?story_fbid=495918594348778&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 20:00:00,"Một lần nữa giữa tuần lại đến rồi, em lại may mắn được đi xem suất chiếu sớm tất cả các phim nên xem xong ngồi review cho các bạn và anh chị để cả nhà có thể lựa phim đi xem nè.  Dạ và bộ phim em lựa chọn để review cho quý dị hôm nay chính là ""21 Cây Cầu"", một phim trinh thám hành động do anh Black Panther Wakanda Forever đóng chính. Thiệt sự thì tâm sự mỏng manh hổng hiểu sao đặt tên phim ""21 cây cầu""=))))))))). Nghe như một bộ phim miền miệt vườn sông nước Mê Kong chín cổng mỗi cổng một cầu thêm mấy cây lẻ lẻ tổng hợp lại thành 21 cây=))))). Dạ nhưng không, 21 cây cầu này ở Manhattan, trong phim nó nói dị chứ nó hổng cho đếm nên em biết dị thôi. Khuyến cáo: Mẹ bỉm sữa dắt con đi coi hoạt hình mà book lộn phim, cặp đôi dưới 17 tuổi định xem phim về phòng tránh thai nhưng book lộn,... Nên xem: Phim dành cho người có trải nghiệm xem hành động nhiều, ham thích súng máy, liên thanh, mê trai Mỹ đen cơ bắp cuồn cuộn,... Và sau đây là bài review ngắn gọn:  Câu chuyện bắt đầu với hai thằng cướp mai thuý bỗng bị cảnh sát mai phục một cách bất ngờ. Bối rối và hoang mang nhưng với khả năng nã súng điêu luyện, tụi nó xử luôn một tá đồng chí vừa xông vào. Sau đó, tụi nó mang mai thuý đi bán lấy 1 triệu đô và bỏ trốn. Nhưng xui thay, chúng nó không phải nhân vật chính, anh Báo Đen đã xuất hiện và bắt đầu phá án, tuy thế, bên cạnh việc bắt cho bằng được hai thằng cướp, anh Báo còn phát hiện ra thêm nhiều bí ẩn kinh dị khác. Xét cho đúng thì đây là một phim hành động tốt. Phim có nhịp điệu chậm rãi để gây tò mò chứ không ầm ầm từ đầu tới cuối, coi không mệt, lâu lâu có cảnh rượt đuổi thì sẽ nhanh hơn tí. Điểm cộng là phim hành động nhưng kịch bản tốt và có lồng twist, chỉ hơi tiếc là để lộ sớm quá qua lời thoại của nhân vật.  Diễn viên trong phim diễn khá ổn, từ chính đến phụ, từ xấu đến tốt. Đường dây và tâm lý nhân vật rất hay, rất khớp, ít lỗ hổng, nhưng lại bị show ra quá nhiều, làm cho phim càng dễ đoán hơn. Nam chính rất ngon, rất đẹp trai, diễn rất hay đúng chất vua Wakanda. Mà em nghĩ chắc mới đóng bên kia xong chạy qua bên này quay luôn nên còn mặc giáp, đạn bắn hoài không trúng phát nào, còn anh mà đã bắn thì các chú một chết hai nằm luôn. Tóm lại, với một tuần mà phim hoạt hình và phim tình cảm chiếm đóng như này thì đây có thể nói là phim hành động duy nhất và có chất lượng nhất, nên xem cũng oke lắm nha!!!! 21 Cây Câu khởi chiếu từ 29.11.2019 #cuồngphim","1,6K","1,5K",50,30,1,,,33 bình luậ,2496746317307873,/story.php?story_fbid=2496746317307873&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 18:58:51,Những Review đầu tiên về Anh Trai Yêu Quái nè các cuồng ơi. Đây là một trong những phim Việt rất đáng xem vào cuối năm đó. Nhớ lên lịch xem phim nhe! Anh Trai Yêu Quái hiện đang chiếu tại rạp. #cuồngphim,841,760,19,51,2,7,2,217 bình luậ,713952302425688,/story.php?story_fbid=713952302425688&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 18:00:00,Loạt phim đua xe hành động kinh điển bắt đầu từ năm 2001 Fast and Furious được dự đoán sẽ chính thức tạm biệt người hâm mộ ở phần phim thứ 10. 😱😱😱 #cuồngphim,833,671,9,27,5,121,,59 bình luậ,2495353007447204,/story.php?story_fbid=2495353007447204&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 16:00:00,Nam diễn viên James McAvoy mới đây đã chia sẻ việc anh hay bị loại khỏi các vòng casting vì vóc dáng “nhỏ nhắn” của mình. 🤔🤔🤔 #cuồngphim,"1,4K","1,2K",67,17,6,118,,43 bình luậ,2495346964114475,/story.php?story_fbid=2495346964114475&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 12:00:00,Có lẽ sẽ rất khó để thấy cặp đôi này xuất hiện trên màn ảnh rộng một lần nữa... #cuồngphim Cre: @davidayermovies,"5,7K","4,6K",47,298,7,677,,99 bình luậ,2494110487571456,/story.php?story_fbid=2494110487571456&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-27 09:00:00,Ủa thiệt luôn! 😂😂😂 #cuồngphim,6K,"3,8K","2,1K",54,24,18,,23 bình luậ,2490280291287809,/story.php?story_fbid=2490280291287809&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-26 22:00:00,"Làm phim hoạt hình phê phán hiện trạng huỷ hoại môi trường, nhưng Disney lại bán đồ chơi bằng nhựa khiến công chúng phẫn nộ.  😱😱😱 #cuồngphim","1,3K","1,2K",138,9,6,41,1,43 bình luậ,2493393847643120,/story.php?story_fbid=2493393847643120&id=1500102180305630,Lưu
Cuồng phim-Review,,2019-11-26 21:30:00,"Dưới sự chỉ đạo của đạo diễn Rian Johnson và dàn sao xuất chúng, Knives Out đã nhận được vô số lời khen ngợi từ giới phê bình lẫn người hâm mộ. 😱😱😱 #cuồngphim",306,276,9,20,1,,,13 bình luậ,2493442544304917,/story.php?story_fbid=2493442544304917&id=1500102180305630,Lưu
