source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Let's Viet TV,,2019-10-11 20:00:44,Tự nhiên tự tại... tự hại thân mình 😔😔,7,7,,,,,,Bình luậ,10156501520506475,/story.php?story_fbid=10156501520506475&id=146742116474
Let's Viet TV,,2019-10-11 13:40:00,MC Thanh Phương thật dịu dàng trong tà áo dài <3,70,63,,7,,,,3 bình luậ,10156518058056475,/story.php?story_fbid=10156518058056475&id=146742116474
Let's Viet TV,,2019-10-11 09:33:51,"Dự Án “www.NGOINHANGHESI.vn” do ”Công Ty Cổ Phần Truyền Thông Lets Viet” www.LETSVIET.vn chủ quản chính thức hoạt động: “Từ trước đến nay văn nghệ sĩ có đóng góp đáng trân trọng cho sự phát triển của đất nước, đến nay vẫn chưa có nơi nào đảm bảo quyền lợi; chăm lo đời sống của họ khi về già. Nay chúng tôi muốn xây dựng ngôi nhà chung cho văn nghệ sĩ, được minh bạch và quản lý trên nền tảng công nghệ hiện đại, ghi nhận đóng góp, cất giữ các thành quả lao động nghệ thuật và khai thác sử dụng các thành quả đó có lợi nhất cho văn nghệ sĩ; tạo nên quỹ chăm lo đời sống cho văn nghệ sĩ gặp khó khăn và đã nghỉ hưu.” Chào mừng Đạo Diễn - Diễn viên KÍNH QUỐC đã đồng hành cùng dự án với “http://kinhquoc.ngoinhanghesi.vn/”. Hãy đăng kí Fan Club của anh ấy để theo dõi tin tức cập nhật mới nhất nhé. #KinhQuoc #NgoiNhaNgheSi #LetsViet #KOLs #Đại_Diện_Thương_Hiệu “LetsViet có cung cấp dịch vụ KOLs (Tham dự Sự Kiện, LiveStream, Chụp hình cùng sản phẩm, Đai diện thương hiệu....) của anh chị em nghệ sĩ đang đồng hành cùng “NGÔI NHÀ NGHỆ SĨ” Anh em đối tác có nhu cầu liên hệ nhé.",18,18,,,,,,Bình luậ,10156517892936475,/story.php?story_fbid=10156517892936475&id=146742116474
Let's Viet TV,,2019-10-09 08:20:27,"Hành trình “Tìm kiếm tài năng MC nhí” là bệ phóng để phát hiện những nhân tố trẻ có tiềm năng trong lĩnh vực nghệ thuật đứng trước công chúng. Hy vọng những mầm non này tiếp tục được bồi dưỡng, đào tạo để trở thành Ngôi Sao toả sáng trong tương lai. - Nguồn Đạo diễn Lê Minh -",4,4,,,,,,Bình luậ,10156513077851475,/story.php?story_fbid=10156513077851475&id=146742116474
Let's Viet TV,,2019-10-08 10:22:32,"Huỳnh Phú (tên thật là Phan Văn Phú) sinh ra và lớn lên trong một gia đình nghèo ở miền quê Tiền Giang. Huỳnh Phú không có ngoại hình bắt mắt, nói chuyện với anh, tôi chỉ cảm nhận được sự thật thà, chân chất.",11,11,,,,,,2 bình luậ,10156510910146475,/story.php?story_fbid=10156510910146475&id=146742116474
Let's Viet TV,,2019-10-07 20:00:53,Đã có lý do nuôi heo làm boss rồi 😜😜,7,7,,,,,,2 bình luậ,10156499028356475,/story.php?story_fbid=10156499028356475&id=146742116474
Let's Viet TV,,2019-10-07 08:52:38,"Diễn viên Kha Ly hài lòng với cuộc sống hôn nhân bên ông xã Thanh Duy vì ba năm qua kể từ khi lên xe hoa, cô luôn có người đồng hành trong công việc và cuộc sống.",9,9,,,,,,Bình luậ,10156508358951475,/story.php?story_fbid=10156508358951475&id=146742116474
Let's Viet TV,,2019-10-06 20:00:31,"Sư cao, đồ còn cao hơn 💪💪",13,13,,,,,,Bình luậ,10156498986431475,/story.php?story_fbid=10156498986431475&id=146742116474
Let's Viet TV,,2019-10-05 20:00:42,Ba cái trò sửu nhi mà làm khó anh được à 👎👎,5,5,,,,,,Bình luậ,10156498850721475,/story.php?story_fbid=10156498850721475&id=146742116474
Let's Viet TV,,2019-10-04 20:00:19,Làm lớn mà làm láo là hổng có được nghe chưa 😅😅,27,22,3,2,,,,Bình luậ,10156498848266475,/story.php?story_fbid=10156498848266475&id=146742116474
Let's Viet TV,,2019-10-03 20:00:07,Làm trai cho đáng nên trai Lơ ngơ láo ngáo... là gái nó lừa 😏😏,52,46,6,,,,,4 bình luậ,10156496923961475,/story.php?story_fbid=10156496923961475&id=146742116474
Let's Viet TV,,2019-10-02 20:00:52,Ma mà đẹp vậy thì theo suốt đời ad cũng chịu 😅😅,39,36,2,,,,1,1 bình luậ,10156496884306475,/story.php?story_fbid=10156496884306475&id=146742116474
Let's Viet TV,,2019-10-02 08:46:33,"Mỗi một cuộc thi đều có những tiêu chí riêng. Chọn Hoa hậu Doanh Nhân chứ không phải chọn Hoa hậu Việt Nam nên tiêu chí phải khác. Người đạt vương miện có thể không phải người đẹp nhất, cao nhất, nhưng phải có một sự nghiệp ổn, có thần thái, tự tin và bản lĩnh của một người quản lý, vì ngoài vẻ đẹp, họ còn phải là một doanh nhân giỏi, thủ lĩnh của những đoàn quân” – Diễn viên Ôn Bích Hằng – Thành viên hội đồng Ban giám khảo chuyên môn cuộc thi Hoa hậu Nam vương Đại sứ Toàn cầu 2019 chia sẻ.",3,3,,,,,,Bình luậ,10156496293951475,/story.php?story_fbid=10156496293951475&id=146742116474
Let's Viet TV,,2019-09-30 08:26:22,Nữ diễn viên tiết lộ cát-xê tăng 5-6 lần sau khi tham gia dự án 'Gạo nếp gạo tẻ' nhưng không thích khoe khoang.,2,2,,,,,,Bình luậ,10156491700496475,/story.php?story_fbid=10156491700496475&id=146742116474
Let's Viet TV,,2019-09-27 09:19:40,"Sự xinh đẹp và gợi cảm của Băng Di khiến nhiều người kỳ vọng vào một vai diễn ấn tượng, cuốn hút của cô trong ""Cậu Vàng""",9,9,,,,,,1 bình luậ,10156484495936475,/story.php?story_fbid=10156484495936475&id=146742116474
Let's Viet TV,,2019-09-26 08:52:59,"Màn ""đấu đá"" sương sương của NSUT Chiều Xuân và Băng Di bỗng trở thành tâm điểm tại buổi họp báo ra mắt phim ""Cậu Vàng"".",6,6,,,,,,Bình luậ,10156482202231475,/story.php?story_fbid=10156482202231475&id=146742116474
Let's Viet TV,,2019-09-24 14:45:12,Cùng ngắm nhìn hình ảnh Băng Di trong buổi họp báo phim Điện Ảnh Cậu Vàng ❤️ Theo dõi Ngoinhanghesi.vn để cập nhật hình ảnh tin tức mới nhất của nghệ sĩ mình yêu thích nhé các bạn.,24,23,,1,,,,1 bình luậ,10156478148506475,/story.php?story_fbid=10156478148506475&id=146742116474
Let's Viet TV,,2019-09-23 09:55:48,"Sau một thời gian im hơi lặng tiếng, cuối cùng ekip làm phim Cậu Vàng cũng tổ chức buổi họp báo đầu tiên tại Ninh Bình để công bố dàn diễn viên chính thức. Tâm điểm của buổi họp báo dĩ nhiên thuộc về người đảm nhận vai lão Hạc và 5 chú chó được tuyển chọn cho vai cậu Vàng. Bên cạnh đó cũng có hai ""bóng hồng"" được chú ý không kém phần, đó chính là NSƯT Chiều Xuân và diễn viên trẻ xinh đẹp Băng Di.",7,7,,,,,,Bình luậ,10156475715741475,/story.php?story_fbid=10156475715741475&id=146742116474
Let's Viet TV,,2019-09-21 14:23:41,"Diễn viên Ôn Bích Hằng vừa hé lộ tạo hình nhân vật trong bộ phim điện ảnh sắp khởi quay. Nghệ sĩ luôn hy sinh hình ảnh cá nhân để có thể vào vai diễn một cách chân thật nhất.  Bộ phim Điện Ảnh “Kẻ Đào Mộ” Đạo diễn : Công Hậu  Với sự góp mặt của dàn diễn viên như: Huy Khánh , Trương Thị Mây , Phương Dung , Bảo Trí , Ôn Bích Hằng , Xuân Nghị , Xuân Hương....v...v.. Theo dõi Ngoinhanghesi.vn để cập nhật nhiều tin mới của nghệ sĩ bạn yêu thích nhé #Ngoinhanghesi #LetsViet",25,25,,,,,,Bình luậ,10156471622446475,/story.php?story_fbid=10156471622446475&id=146742116474
Let's Viet TV,,2019-09-20 14:00:01,,100,93,4,,,3,,30 bình luậ,10156467162016475,/story.php?story_fbid=10156467162016475&id=146742116474
Let's Viet TV,,2019-09-19 14:00:01,"Phúc An sở hữu nét đẹp hồn hậu dễ tạo cảm giác bình yên với người đối diện. Ngay cả cái tên của chị cũng gợi lên sự an yên.  Phúc An dịu dàng đúng nét phụ nữ Á Đông, thế nên chị thường được các đạo diễn “nhắm” vào vai người phụ nữ hiền lành, cam chịu và từ khi vào nghề đến nay, ít khi chị được thử sức với vai phản diệ",13,12,,1,,,,1 bình luậ,10156467164201475,/story.php?story_fbid=10156467164201475&id=146742116474
Let's Viet TV,,2019-09-19 10:43:22,Ủa sao bị quài ta???? 🤔🤔 Cre: Sen Xàm Xí,20,14,6,,,,,1 bình luậ,10156467138421475,/story.php?story_fbid=10156467138421475&id=146742116474
Let's Viet TV,,2019-09-18 09:00:01,Băng Di chia sẻ rằng mình trước đây rất dễ tính trong việc ăn uống nhưng hiện tại cô đã bỏ một số loại thịt ra khỏi khẩu phần ăn của mình vì tình thương động vật.,6,5,,1,,,,Bình luậ,10156463437611475,/story.php?story_fbid=10156463437611475&id=146742116474
Let's Viet TV,,2019-09-17 15:20:53,🤣🤣,66,48,18,,,,,7 bình luậ,10156463497426475,/story.php?story_fbid=10156463497426475&id=146742116474
Let's Viet TV,,2019-09-17 13:00:00,"Nhân vật Duyên trong “Khép lại quá khứ” đang phát sóng trên HTV9 là người tốt, có số phận khác hẳn so với những vai diễn tương tự mà Phúc An từng đảm nhận. Nhưng thực tế, nữ diễn viên này lại thích vào những vai phản diện hơn bị đóng khung vào người tốt.",13,13,,,,,,Bình luậ,10156463175796475,/story.php?story_fbid=10156463175796475&id=146742116474
