source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
danviet.vn,,2019-10-12 14:15:00,"ột chiếc trực thăng kỳ quái trông giống như UFO được gọi là ""siêu cá mập trắng khổng lồ (SGWS)"" vừa trình làng tại một triển lãm hàng không lớn ở Trung Quốc.",,,,,,,,Bình luậ,2457786421003241,/story.php?story_fbid=2457786421003241&id=385889054859665
danviet.vn,,2019-10-12 14:45:00,Tôi nghe giống list bài hát hơn các bác ah 😅 Nguồn: St,2,2,,,,,,Bình luậ,2443048069143743,/story.php?story_fbid=2443048069143743&id=385889054859665
danviet.vn,,2019-10-12 14:41:55,"Trong cuốn sách ""Cuộc săn lùng MH370 năm 2019"", nhà báo Ean Higgins cáo buộc cơ trưởng Zaharie Ahmad Shah đã lên kế hoạch giết người hàng loạt để anh ta có thể trốn thoát và bắt đầu một cuộc sống mới với tình nhân của mình.",1,1,,,,,,Bình luậ,2457867897661760,/story.php?story_fbid=2457867897661760&id=385889054859665
danviet.vn,,2019-10-12 13:40:00,"Sở GTVT Nghệ An là đơn vị duy nhất của tỉnh Nghệ An sở hữu hàng loạt xe ô tô biển xanh “lộc phát” 68 gồm: 37A – 000.68, 37A – 068.68 và 37A – 268.68.",11,10,1,,,,,9 bình luậ,2457720947676455,/story.php?story_fbid=2457720947676455&id=385889054859665
danviet.vn,,2019-10-12 13:05:00,"Ngay sau khi có kết quả dương tính với virus cúm A/H5N6, huyện Ngọc Hồi (Kon Tum) đã tổ chức tiêu hủy 980 con gà 45 ngày tuổi của gia đình một nông dân ở xã Đăk Kan.",11,7,,,4,,,Bình luậ,2457640567684493,/story.php?story_fbid=2457640567684493&id=385889054859665
danviet.vn,,2019-10-12 12:20:13,hóa ta là việc nó vậy mà lại không phải vậy hả các bác???,6,3,2,,,,1,Bình luậ,2457568094358407,/story.php?story_fbid=2457568094358407&id=385889054859665
danviet.vn,,2019-10-12 11:43:24,"""Thấy mọi người hô hoán và tên cướp đang có ý định tháo chạy, tôi không có thời gian suy nghĩ mà phải hành động thật nhanh để giúp người bị hại"", anh Hùng kể lại.",14,13,,1,,,,Bình luậ,2457517861030097,/story.php?story_fbid=2457517861030097&id=385889054859665
danviet.vn,,2019-10-12 11:15:00,"Dùng giấy tờ giả đi xin làm người giúp việc, ô sin ""rởm"" lấy trộm nhiều tài sản có giá trị hàng trăm triệu đồng.",10,7,,,,,3,Bình luậ,2457367517711798,/story.php?story_fbid=2457367517711798&id=385889054859665
danviet.vn,,2019-10-12 10:40:00,"Trước tình trạng người dân phản ánh nước sạch có ""mùi lạ"", ông Nguyễn Hữu Tới - Giám đốc Cty Cổ phần Viwaco, cho biết, hiện công an kinh tế, công an môi trường đã vào cuộc. Và phía Công ty chưa nhận được bất kỳ phản hồi nào từ nhà máy nước sạch sông Đà.",18,13,2,,1,,2,Bình luậ,2457362321045651,/story.php?story_fbid=2457362321045651&id=385889054859665
danviet.vn,,2019-10-12 10:00:01,một cuộc gặp gỡ ý nghĩa !,7,7,,,,,,Bình luậ,2457112201070663,/story.php?story_fbid=2457112201070663&id=385889054859665
danviet.vn,,2019-10-12 09:30:00,Công nhận không các bác  Đây phải gọi là cuộc gặp để đời luôn ! Nguồn: ST,16,13,2,,1,,,Bình luậ,2443045875810629,/story.php?story_fbid=2443045875810629&id=385889054859665
danviet.vn,,2019-10-12 08:25:00,Tuổi nhỏ nhưng làm việc không nhỏ tí nào ;) Nguồn: St,26,24,,1,1,,,7 bình luậ,2443037865811430,/story.php?story_fbid=2443037865811430&id=385889054859665
danviet.vn,,2019-10-12 09:00:01,"càng tìm hiểu, càng nhiều điểm khó có thể lý giải",14,11,3,,,,,Bình luậ,2457144557734094,/story.php?story_fbid=2457144557734094&id=385889054859665
danviet.vn,,2019-10-12 07:08:03,"""Những người nông dân “3 biết” đó là xây dựng kế hoạch sản xuất hàng hóa, biết sản xuất hàng hóa và biết tiêu dùng hàng hóa” - Chủ tịch Hội NDVN Thào Xuân Sùng",9,9,,,,,,Bình luậ,2457022747746275,/story.php?story_fbid=2457022747746275&id=385889054859665
danviet.vn,,2019-10-12 07:56:53,Chẳng nhẽ đông năm nay về sớm ???,11,11,,,,,,Bình luậ,2457092847739265,/story.php?story_fbid=2457092847739265&id=385889054859665
danviet.vn,,2019-10-12 06:25:35,"Giá heo hơi hôm nay 12/10 chưa hạ nhiệt khi Công ty cổ phần chăn nuôi C.P tăng giá bán thêm 1.000 đồng/kg ở kho phía Nam, lên mức 57.000-57.500 đồng/kg.",5,5,,,,,,Bình luậ,2456964344418782,/story.php?story_fbid=2456964344418782&id=385889054859665
danviet.vn,,2019-10-11 21:03:21,Quà to thế này cơ mà,71,54,15,1,1,,,12 bình luậ,2455921567856393,/story.php?story_fbid=2455921567856393&id=385889054859665
danviet.vn,,2019-10-11 20:30:00,"Chuyện buồn, đừng ai thả haha nha  :D Nguồn: ST",63,47,11,1,1,3,,9 bình luậ,2434663456648871,/story.php?story_fbid=2434663456648871&id=385889054859665
"danviet.vn,Thanh Dung",,2019-10-11 20:11:39,Cựu Bộ trưởng Bộ Thông tin và Truyền thông Nguyễn Bắc Son và Trương Minh Tuấn đã bị Ban Chấp hành Trung ương thi hành kỷ luật mức cao nhất.Khu vực đường Nguyễn Ảnh Thủ Q12 tphcm,71,47,19,1,1,,3,40 bình luậ,2455794191202464,/story.php?story_fbid=2455794191202464&id=385889054859665
danviet.vn,,2019-10-11 19:30:02,Khi vợ vắng nhà ;) Nguồn: ST,96,59,37,,,,,21 bình luậ,2451929958255554,/story.php?story_fbid=2451929958255554&id=385889054859665
danviet.vn,,2019-10-11 19:18:44,Thế mà côn xao mxh các bác ạ,9,8,1,,,,,Bình luậ,2455677944547422,/story.php?story_fbid=2455677944547422&id=385889054859665
danviet.vn,,2019-10-11 19:50:44,"Mặc cho đề xuất của Sở Xây dựng tỉnh Hà Giang về việc phá dỡ toàn bộ phần nhô ra sông Nho Quế của công trình Panorama trên đèo Mã Pí Lèng (huyện Mèo Vạc, tỉnh Hà Giang), ngày 11/10, công trình gây ồn ào dư luận trên bất ngờ đổi mầu sơn xanh.",25,12,9,,2,,2,14 bình luậ,2455749964540220,/story.php?story_fbid=2455749964540220&id=385889054859665
danviet.vn,,2019-10-11 18:59:18,ẢNH ĐẸP CUỐI TUẦN  >>>XEM THÊM: ,344,303,1,39,1,,,20 bình luậ,2455632861218597,/baodientu/photos/a.386262921488945/2455632861218597
"danviet.vn,Thanh Dung",,2019-10-11 18:15:00,Nhanh nhanh đổi nghề còn kịp các bác ơi !!! Nguồn: StKhu vực đường Nguyễn Ảnh Thủ Q12 tphcm,10,7,3,,,,,1 bình luậ,2443041902477693,/story.php?story_fbid=2443041902477693&id=385889054859665
danviet.vn,,2019-10-11 17:54:58,Bí thư trần tình như này các bác thấy có dc k,8,6,2,,,,,1 bình luậ,2455499611231922,/story.php?story_fbid=2455499611231922&id=385889054859665
danviet.vn,,2019-10-11 16:35:00,Những ngày chửa có lương T_T Nguồn: St,5,5,,,,,,Bình luậ,2443029929145557,/story.php?story_fbid=2443029929145557&id=385889054859665
danviet.vn,,2019-10-11 16:00:01,"Hàng nghìn hộ dân ở các quận Thanh Xuân, Hoàng Mai, Hà Đông… bất an lo lắng vì nước sinh hoạt chảy ra từ vòi xuất hiện mùi hôi của hóa chất.",18,11,2,,4,1,,Bình luậ,2455209101260973,/story.php?story_fbid=2455209101260973&id=385889054859665
danviet.vn,,2019-10-11 15:15:00,Món gì đây nhở ;) Nguồn: St,22,21,,1,,,,16 bình luậ,2434662443315639,/story.php?story_fbid=2434662443315639&id=385889054859665
danviet.vn,,2019-10-11 14:29:30,"Sáng 11/10, Công an Hải Phòng đã chính thức thông tin về vụ việc xử lý vi phạm giao thông tại ngã tư Quán Toan, quận Hồng Bàng.",98,70,16,,1,,11,52 bình luậ,2455097517938798,/story.php?story_fbid=2455097517938798&id=385889054859665
danviet.vn,,2019-10-11 14:00:01,"Mỗi chiếc máy điện tử thỏ khỉ sư tử đều có thể cài đặt chương trình để dân chơi ""đánh đâu chết đấy"", tiền đổ về cho chủ bàn.",8,8,,,,,,Bình luậ,2455000124615204,/story.php?story_fbid=2455000124615204&id=385889054859665
danviet.vn,,2019-10-11 13:29:14,"Không chỉ thể hiện đẳng cấp bằng những bàn thắng đẹp, Quang Hải cũng rất biết cách tạo sự chú ý thông qua cách ăn mừng đậm chất ngôi sao của mình.",21,20,1,,,,,1 bình luậ,2454983877950162,/story.php?story_fbid=2454983877950162&id=385889054859665
danviet.vn,,2019-10-11 12:30:00,"Ngày 11/10, Công an huyện Bình Chánh đang phối hợp cùng các đơn vị nghiệp vụ Công an TP.HCM điều tra làm rõ cái chết của nam thanh niên 9X với nhiều bất thường ở khu vực. Nạn nhân là anh Nguyễn Hoàng Thành (22 tuổi, ngụ huyện Bình Chánh).",3,2,,,,,1,Bình luậ,2454834964631720,/story.php?story_fbid=2454834964631720&id=385889054859665
danviet.vn,,2019-10-11 11:58:48,bị lộ bí thư đành trả lại huy chương các bác ạ,7,4,3,,,,,1 bình luậ,2454812131300670,/story.php?story_fbid=2454812131300670&id=385889054859665
danviet.vn,,2019-10-11 10:39:06,Đúng kiểu ăn mừng đẳng cấp,3,3,,,,,,Bình luậ,2454656374649579,/story.php?story_fbid=2454656374649579&id=385889054859665
danviet.vn,,2019-10-11 10:16:25,"Theo Cục Cảnh sát hình sự - Bộ Công an, đối tượng Nguyễn Hoàng Long (SN 1980) và đồng bọn tổ chức cá độ bóng đá, số đề, đá gà qua trang mạng Internet www.bong88.com có máy chủ đặt ở nước ngoài, giao diện website thể hiện nhiều ngôn ngữ khác nhau, trong đó có tiếng Việt.",31,31,,,,,,Bình luậ,2454612797987270,/story.php?story_fbid=2454612797987270&id=385889054859665
danviet.vn,,2019-10-11 09:30:00,Ăn cái này chua phải biết :D Nguồn: ST,28,27,,,1,,,3 bình luậ,2430832823698601,/story.php?story_fbid=2430832823698601&id=385889054859665
danviet.vn,,2019-10-10 23:00:03,Sao trước trận to mồm lắm mà...,,,,,,,,Bình luậ,2453437668104783,/story.php?story_fbid=2453437668104783&id=385889054859665
danviet.vn,,2019-10-11 08:59:25,"Sáng nay (11/10/2019), tại Hà Nội đang diễn ra Diễn đàn Nông dân Quốc gia lần thứ tư với chủ đề: ""Từ CPTPP tới EVFTA: Cùng nông dân đi chợ thế giới"".",11,11,,,,,,Bình luậ,2454463764668840,/story.php?story_fbid=2454463764668840&id=385889054859665
danviet.vn,,2019-10-11 08:18:12,"CĐV Việt Nam hát tặng các cầu thủ, chúc Việt Nam chiến thắng",13,12,,1,,,,3 bình luậ,2454390241342859,/story.php?story_fbid=2454390241342859&id=385889054859665
danviet.vn,,2019-10-11 08:15:00,Sáng tạo hay quá ;) Nguồn: Copy,16,13,3,,,,,Bình luậ,2442944492487434,/story.php?story_fbid=2442944492487434&id=385889054859665
danviet.vn,,2019-10-11 07:35:00,"Kết luận của Bộ Chính trị đã thẳng thắn chỉ rõ, so với yêu cầu, nhiệm vụ xây dựng, chỉnh đốn Ðảng, công tác kiểm tra, giám sát, kỷ luật của Ðảng vẫn còn những hạn chế, yếu kém. Có nơi, có thời điểm lãnh đạo công tác kiểm tra chưa chủ động, thường xuyên, ráo riết, thiếu quyết liệt; vẫn còn tình trạng nể nang, né tránh.",60,43,12,,3,1,1,18 bình luậ,2454298671352016,/story.php?story_fbid=2454298671352016&id=385889054859665
danviet.vn,,2019-10-11 06:59:30,"Giá heo hơi hôm nay 11/10 tại miền Bắc tiếp tục lập ""đỉnh"" mới khi đã có nơi xuất hiện mức giá 65.000 - 67.000 đồng/kg, trong khi đó, giá heo hơi tại miền Nam cũng tăng ""nóng""",33,31,,,2,,,Bình luậ,2454275698020980,/story.php?story_fbid=2454275698020980&id=385889054859665
danviet.vn,,2019-10-11 06:26:37,"Những pha tấn công ""rực lửa"" và bàn thắng đẳng cấp của Quang Hải",61,58,,3,,,,6 bình luậ,2454229278025622,/story.php?story_fbid=2454229278025622&id=385889054859665
danviet.vn,,2019-10-10 23:38:14,Dí dỏm như thầy Park...,42,41,1,,,,,Bình luậ,2453528204762396,/story.php?story_fbid=2453528204762396&id=385889054859665
danviet.vn,,2019-10-10 22:33:28,Nín thở chờ kết quả kiểm tra...,78,69,,1,5,3,,6 bình luậ,2453371188111431,/story.php?story_fbid=2453371188111431&id=385889054859665
danviet.vn,,2019-10-10 22:09:37,Chỉ 1 là đủ!,103,98,1,4,,,,8 bình luậ,2453309131450970,/story.php?story_fbid=2453309131450970&id=385889054859665
danviet.vn,,2019-10-10 21:00:24,Tuyệt vời!,31,30,,1,,,,Bình luậ,2453123718136178,/story.php?story_fbid=2453123718136178&id=385889054859665
danviet.vn,,2019-10-10 20:41:27,"Sau bản án sơ thẩm bị tuyên phạt 18 tháng tù về tội “Dâm ô đối với người dưới 16 tuổi”, cựu Viện phó VKSND Nguyễn Hữu Linh kháng cáo kêu oan, Tòa Gia đình và Người chưa thành niên (thuộc TAND TP.HCM) đã tiếp nhận hồ sơ vụ án.",18,16,,,,,2,8 bình luậ,2453073664807850,/story.php?story_fbid=2453073664807850&id=385889054859665
danviet.vn,,2019-10-10 20:06:28,"Dù tập trung muộn, nhưng với đẳng cấp đã được thẩm định cùng với đó là quá trình ""ăn cơm tuyển"" lâu năm, cả Công Phượng và Văn Hậu đều được HLV Park Hang-seo xếp đá chính khi ĐT Việt Nam tiếp đón ĐT Malaysia trên SVĐ Mỹ Đình.",8,8,,,,,,Bình luậ,2452981114817105,/story.php?story_fbid=2452981114817105&id=385889054859665
danviet.vn,,2019-10-10 19:15:00,Được thế này thì còn gì bằng :D Nguồn: ST,49,42,3,4,,,,1 bình luậ,2451905874924629,/story.php?story_fbid=2451905874924629&id=385889054859665
danviet.vn,,2019-10-10 18:02:00,Những nông dân xuất sắc nhất cả nước,4,4,,,,,,Bình luậ,2452543288194221,/story.php?story_fbid=2452543288194221&id=385889054859665
