source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
YAN News,,2019-11-07 13:51:00,BAO NHIÊU ĐIỂM? 100 ĐIỂM NHA NHA 😆,66,66,,1,,,,1 bình luậ,3903545456382981,/story.php?story_fbid=3903545456382981&id=154180304652867
YAN News,,2019-11-07 13:46:01,MỘT LẦN CHƠI LỚN ĐỂ XEM FAN CÓ TRẦM TRỒ 😂,54,47,8,,,,,1 bình luậ,3903540779716782,/story.php?story_fbid=3903540779716782&id=154180304652867
YAN News,,2019-11-07 13:31:42,BỎ NGHỀ VỀ QUÊ SỐNG ÊY 😂,153,148,2,3,,,,1 bình luậ,3903531936384333,/story.php?story_fbid=3903531936384333&id=154180304652867
YAN News,,2019-11-07 13:22:50,"""25 tuổi làm gì vậy, trứng vẫn còn nhiều mà... 😂"" Misoa ơi nghe lời Trác Thúy Miêu điii, chuẩn không cần chỉnh luôn á :v Cre: Dustin on the go",270,214,54,2,,1,,36 bình luậ,3902985509772309,/story.php?story_fbid=3902985509772309&id=154180304652867
YAN News,,2019-11-07 13:14:29,KHI THIÊN TÀI KHEN 1 THIÊN TÀI KHÁC 😌,205,198,4,2,1,,,5 bình luậ,3903492829721577,/story.php?story_fbid=3903492829721577&id=154180304652867
YAN News,,2019-11-07 12:51:00,2 VẠCH THÌ CON TRAI HOẢNG HƠN CON GÁI LÀ CHẮC RỒI 😅,303,262,26,2,8,5,,17 bình luậ,3903407619730098,/story.php?story_fbid=3903407619730098&id=154180304652867
YAN News,,2019-11-07 12:46:00,"Be bé vậy chứ là giáo viên dạy công nghệ thông tin đấy nhé, chúc hai bạn trăm năm hạnh phúc 😍",779,698,6,70,4,,1,29 bình luậ,3903354979735362,/story.php?story_fbid=3903354979735362&id=154180304652867
YAN News,,2019-11-07 12:40:00,Không có chổ đễ thì đưa đây để ké bên tủ nhà em nè chị 😆,264,236,21,6,1,,,18 bình luậ,3903339589736901,/story.php?story_fbid=3903339589736901&id=154180304652867
YAN News,,2019-11-07 12:22:14,BÁNH BAO NHÀ LÀM - CHUẨN TRUYỀN THỐNG SÀI GÒN 😱  Không ăn thì thôi chứ một khi ăn bánh của chú Son là ghiền đó 😉 Nhưng bạn sẽ cảm phục chú hơn vì lí do chú còn trụ nghề...,1K,969,8,80,6,,,60 bình luậ,3903144423089751,/story.php?story_fbid=3903144423089751&id=154180304652867
YAN News,,2019-11-07 12:14:00,- Em nghĩ sao về diễn viên Anh Đức - Bây giờ thì em thích rồi ạ!! 😆,370,354,10,7,1,,,7 bình luậ,3903312209739639,/story.php?story_fbid=3903312209739639&id=154180304652867
YAN News,,2019-11-07 11:53:56,"Rủ vợ ra bờ biển ngồi hóng mát xong... ngủ 🙃 Đây, yêu lâu rồi nó sẽ như này  =))))))",1K,858,143,16,,,,33 bình luậ,3903285199742340,/story.php?story_fbid=3903285199742340&id=154180304652867
YAN News,,2019-11-07 11:49:24,HỒI XƯA DIỆN ĐỒ CƯỚI CHƠI THÔI AI DÈ CƯỚI THIỆT 😻 HÓNG ĐÁM CƯỚI!,554,505,21,28,,,,7 bình luậ,3903274619743398,/story.php?story_fbid=3903274619743398&id=154180304652867
YAN News,,2019-11-07 11:44:00,"Thì ra số 31 trong logo nghĩa là kem của Baskin Robbins có 31 vị, đã ai biết chưa?",88,86,1,,,1,,1 bình luậ,3903232556414271,/story.php?story_fbid=3903232556414271&id=154180304652867
YAN News,,2019-11-07 11:30:00,"CHÂN DÀI TỚI NÁCH LÀ CÓ THẬT NHA TRỜI, HẠNG 1 KHỦNG KHIẾP :)))",361,347,7,4,3,,,16 bình luậ,3903224106415116,/story.php?story_fbid=3903224106415116&id=154180304652867
YAN News,,2019-11-07 11:22:08,Dăm ba cái thử thách sao làm khó được chú Hoài Linh 😂 Tưởng gì mấy cái lông vũ chỉ là chuyện nhỏ :v --- #YANDIGITAL đồng hành cùng #GuongMatThanQuen #GMTQ Gương Mặt Thân Quen 2019 phát sóng 21:15 thứ 7 hàng tuần trên VTV3,"1,3K","1,2K",104,29,,2,3,71 bình luậ,3902981286439398,/story.php?story_fbid=3902981286439398&id=154180304652867
YAN News,,2019-11-07 11:13:35,"Nhớ hồi xưa bả không được người yêu mua trà sữa là chui vô thùng rác ăn vạ, mà giờ sang vậy rồi á 😱",997,899,76,20,,2,,50 bình luậ,3903180643086129,/story.php?story_fbid=3903180643086129&id=154180304652867
